N;종목명;현재가;전일비;등락률;액면가;시가총액;상장주식수;외국인비율;거래량;PER;ROE
1;삼성전자;78,500;1,500;-1.87;100;4,686,279;5,969,783;54.07;31,012,541;20.44;9.99
2;SK하이닉스;117,500;2,000;-1.67;5,000;855,403;728,002;49.11;5,944,301;17.99;9.53
3;LG화학;850,000;13,000;-1.51;5,000;600,035;70,592;45.59;290,300;129.79;2.93
4;삼성전자우;72,200;1,300;-1.77;100;594,124;822,887;76.98;2,127,530;18.8;0.0
5;삼성바이오로직스;866,000;10,000;1.17;2,500;572,989;66,165;10.26;598,935;237.78;0.0
6;NAVER;337,500;5,500;-1.6;100;554,389;164,263;56.63;920,518;55.36;15.22
7;현대차;229,500;2,000;0.88;5,000;490,368;213,668;30.28;1,582,916;44.62;2.04
8;카카오;109,500;3,500;-3.1;100;485,971;443,809;33.03;4,173,581;308.45;2.7
9;삼성SDI;602,000;31,000;-4.9;5,000;413,962;68,765;42.59;583,705;73.72;4.54
10;셀트리온;265,000;2,500;0.95;1,000;364,914;137,703;20.62;850,707;71.29;16.68
11;POSCO;383,500;15,500;-3.88;5,000;334,362;87,187;54.88;752,287;20.87;3.61
12;기아;81,800;1,300;-1.56;5,000;331,587;405,363;32.91;2,634,295;22.29;5.05
13;현대모비스;277,000;1,500;-0.54;5,000;262,577;94,793;37.33;405,089;17.22;4.66
14;삼성물산;132,500;4,000;-2.93;100;247,625;186,887;14.84;663,865;24.23;3.81
15;KB금융;58,800;400;0.68;5,000;244,495;415,808;69.49;2,042,075;7.08;8.53
16;LG전자;148,000;1,000;0.68;5,000;242,199;163,648;30.49;1,525,848;13.6;13.23
17;SK이노베이션;258,000;8,500;-3.19;5,000;238,561;92,466;22.84;1,176,881;-11.13;-13.58
18;LG생활건강;1,519,000;11,000;-0.72;5,000;237,240;15,618;45.89;36,783;33.74;17.92
19;SK텔레콤;312,500;2,500;0.81;500;225,188;72,060;44.55;299,755;16.77;6.44
20;LG;126,500;0;0.0;5,000;218,285;172,557;34.67;0;15.18;7.5
21;신한지주;41,500;650;1.59;5,000;214,389;516,600;60.76;1,812,933;6.16;8.2
22;SK;264,000;8,000;-2.94;200;185,751;70,360;20.77;310,012;98.88;1.11
23;엔씨소프트;841,000;6,000;-0.71;500;184,633;21,954;52.46;105,934;31.43;20.83
24;삼성생명;86,300;2,200;2.62;500;172,600;200,000;13.18;1,331,723;13.64;3.53
25;아모레퍼시픽;290,000;2,500;-0.85;500;169,530;58,458;34.03;231,521;569.74;0.78
26;HMM;44,450;3,150;-6.62;5,000;153,527;345,392;12.06;28,236,581;115.76;8.93
27;한국전력;23,750;150;-0.63;5,000;152,466;641,964;16.66;2,829,830;7.66;2.91
28;하나금융지주;46,850;1,150;2.52;5,000;140,663;300,242;69.11;1,832,029;5.33;8.96
29;삼성에스디에스;175,500;2,500;-1.4;500;135,798;77,378;11.44;206,443;30.62;6.71
30;삼성전기;160,500;4,500;-2.73;5,000;119,883;74,694;33.2;1,853,776;20.62;10.92
31;KT&G;82,000;600;-0.73;5,000;112,580;137,292;40.0;903,173;9.61;13.22
32;포스코케미칼;145,000;1,500;-1.02;500;112,322;77,463;7.67;570,248;314.53;2.96
33;SK바이오사이언스;145,500;1,500;1.04;500;111,308;76,500;2.9;529,121;270.95;13.25
34;넷마블;128,500;1,000;0.78;100;110,450;85,954;23.84;263,609;35.23;6.35
35;S-Oil;95,500;1,200;-1.24;2,500;107,517;112,583;76.22;1,207,510;-13.99;-13.07
36;한국조선해양;149,000;4,500;-2.93;5,000;105,452;70,773;18.19;685,033;-12.65;-7.42
37;SK아이이테크놀로지;144,000;3,500;-2.37;1,000;102,669;71,298;5.39;1,790,770;0.0;11.0
38;대한항공;29,500;100;0.34;5,000;102,607;347,821;10.89;7,486,240;-24.89;-7.22
39;삼성화재;215,000;3,500;1.65;500;101,856;47,375;47.6;348,658;14.4;4.96
40;롯데케미칼;283,000;4,500;-1.57;5,000;96,999;34,275;26.03;364,749;61.22;1.22
41;고려아연;469,500;9,000;-1.88;5,000;88,595;18,870;22.12;108,040;15.46;8.37
42;하이브;240,500;5,500;-2.24;500;85,675;35,624;8.87;247,016;0.0;12.52
43;한온시스템;15,950;350;-2.15;100;85,141;533,800;19.22;1,377,797;77.05;5.09
44;SK바이오팜;108,000;500;0.47;500;84,578;78,313;7.23;301,281;-31.38;-135.18
45;한화솔루션;43,900;800;-1.79;5,000;83,971;191,278;17.08;1,662,665;23.82;5.3
46;KT;31,550;200;0.64;5,000;82,381;261,112;43.89;2,418,871;12.52;4.76
47;우리금융지주;11,050;0;0.0;5,000;79,811;722,268;26.92;3,472,135;6.1;5.87
48;기업은행;10,650;400;3.9;5,000;78,668;738,664;13.09;6,817,777;5.31;6.44
49;LG디스플레이;21,900;800;-3.52;5,000;78,362;357,816;22.15;6,949,683;-87.6;-0.79
50;현대제철;57,000;3,600;-5.94;5,000;76,064;133,446;20.3;2,132,655;-17.69;-2.59
