N;종목명;현재가;전일비;등락률;액면가;시가총액;상장주식수;외국인비율;거래량;PER;ROE
1;삼성전자;78,600;1,400;-1.75;100;4,692,249;5,969,783;54.07;28,300,734;20.46;9.99
2;SK하이닉스;117,500;2,000;-1.67;5,000;855,403;728,002;49.11;5,281,758;17.99;9.53
3;LG화학;854,000;9,000;-1.04;5,000;602,859;70,592;45.59;260,187;130.4;2.93
4;삼성전자우;72,400;1,100;-1.5;100;595,770;822,887;76.98;1,978,832;18.85;0.0
5;삼성바이오로직스;870,000;14,000;1.64;2,500;575,636;66,165;10.26;588,946;238.88;0.0
6;NAVER;338,000;5,000;-1.46;100;555,210;164,263;56.63;803,488;55.44;15.22
7;현대차;229,000;1,500;0.66;5,000;489,300;213,668;30.28;1,447,934;44.53;2.04
8;카카오;108,500;4,500;-3.98;100;481,533;443,809;33.03;3,704,510;305.63;2.7
9;삼성SDI;605,000;28,000;-4.42;5,000;416,025;68,765;42.59;533,377;74.09;4.54
10;셀트리온;265,000;2,500;0.95;1,000;364,914;137,703;20.62;736,806;71.29;16.68
11;POSCO;385,000;14,000;-3.51;5,000;335,669;87,187;54.88;699,987;20.95;3.61
12;기아;81,800;1,300;-1.56;5,000;331,587;405,363;32.91;2,369,752;22.29;5.05
13;현대모비스;276,000;2,500;-0.9;5,000;261,629;94,793;37.33;350,946;17.16;4.66
14;삼성물산;134,000;2,500;-1.83;100;250,429;186,887;14.84;513,691;24.51;3.81
15;KB금융;58,900;500;0.86;5,000;244,911;415,808;69.49;1,786,346;7.09;8.53
16;LG전자;147,500;500;0.34;5,000;241,381;163,648;30.49;1,315,306;13.55;13.23
17;SK이노베이션;260,000;6,500;-2.44;5,000;240,410;92,466;22.84;1,083,257;-11.21;-13.58
18;LG생활건강;1,518,000;12,000;-0.78;5,000;237,084;15,618;45.89;28,143;33.72;17.92
19;SK텔레콤;312,000;2,000;0.65;500;224,828;72,060;44.55;258,125;16.75;6.44
20;LG;126,500;0;0.0;5,000;218,285;172,557;34.67;0;15.18;7.5
21;신한지주;41,400;550;1.35;5,000;213,872;516,600;60.76;1,612,416;6.14;8.2
22;SK;266,000;6,000;-2.21;200;187,158;70,360;20.77;277,663;99.63;1.11
23;엔씨소프트;843,000;4,000;-0.47;500;185,072;21,954;52.46;84,144;31.51;20.83
24;삼성생명;86,500;2,400;2.85;500;173,000;200,000;13.18;1,005,753;13.67;3.53
25;아모레퍼시픽;289,000;3,500;-1.2;500;168,945;58,458;34.03;197,071;567.78;0.78
26;한국전력;23,900;0;0.0;5,000;153,429;641,964;16.66;2,508,732;7.7;2.91
27;HMM;43,850;3,750;-7.88;5,000;151,455;345,392;12.06;27,150,357;114.19;8.93
28;하나금융지주;47,050;1,350;2.95;5,000;141,264;300,242;69.11;1,669,676;5.36;8.96
29;삼성에스디에스;175,500;2,500;-1.4;500;135,798;77,378;11.44;188,351;30.62;6.71
30;삼성전기;160,500;4,500;-2.73;5,000;119,883;74,694;33.2;1,704,388;20.62;10.92
31;KT&G;82,300;300;-0.36;5,000;112,992;137,292;40.0;751,913;9.64;13.22
32;포스코케미칼;144,000;2,500;-1.71;500;111,547;77,463;7.67;423,559;312.36;2.96
33;SK바이오사이언스;145,000;1,000;0.69;500;110,925;76,500;2.9;515,807;270.02;13.25
34;넷마블;128,000;500;0.39;100;110,020;85,954;23.84;186,434;35.1;6.35
35;S-Oil;96,200;500;-0.52;2,500;108,305;112,583;76.22;1,108,220;-14.09;-13.07
36;한국조선해양;150,500;3,000;-1.95;5,000;106,514;70,773;18.19;610,717;-12.77;-7.42
37;대한항공;29,600;200;0.68;5,000;102,955;347,821;10.89;6,918,175;-24.98;-7.22
38;SK아이이테크놀로지;144,000;3,500;-2.37;1,000;102,669;71,298;5.39;1,715,066;0.0;11.0
39;삼성화재;216,000;4,500;2.13;500;102,330;47,375;47.6;321,159;14.47;4.96
40;롯데케미칼;282,000;5,500;-1.91;5,000;96,657;34,275;26.03;296,171;61.0;1.22
41;고려아연;471,500;7,000;-1.46;5,000;88,972;18,870;22.12;92,480;15.53;8.37
42;하이브;240,500;5,500;-2.24;500;85,675;35,624;8.87;235,029;0.0;12.52
43;한온시스템;16,050;250;-1.53;100;85,675;533,800;19.22;1,103,522;77.54;5.09
44;SK바이오팜;108,000;500;0.47;500;84,578;78,313;7.23;289,930;-31.38;-135.18
45;한화솔루션;43,850;850;-1.9;5,000;83,876;191,278;17.08;1,497,164;23.79;5.3
46;KT;31,600;250;0.8;5,000;82,511;261,112;43.89;2,224,038;12.54;4.76
47;우리금융지주;11,100;50;0.45;5,000;80,172;722,268;26.92;3,135,143;6.13;5.87
48;기업은행;10,650;400;3.9;5,000;78,668;738,664;13.09;6,395,041;5.31;6.44
49;LG디스플레이;21,850;850;-3.74;5,000;78,183;357,816;22.15;5,743,239;-87.4;-0.79
50;현대제철;57,300;3,300;-5.45;5,000;76,464;133,446;20.3;2,027,680;-17.78;-2.59
