일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2021-01-06,"2,283.85",22.96,"-24,076","22,438","7,399","-5,973","-3,986","-1,288","-10,348","-2,538","-3,566",-321,"-2,030",0,212,"22,650","-5,973",0
2021-01-05,"2,260.89",30.09,"-16,760","12,070","12,760","-8,275",661,-704,"-4,287","-2,946","-1,468",-615,"-7,402",0,204,"12,275","-8,275",0
2021-01-04,"2,230.80",20.05,"-12,921","7,568","9,894","-4,821","-3,046","-1,693","-4,159",359,"-1,867",-97,"-2,417",0,281,"7,849","-4,821",0
2020-12-30,"2,210.75",28.06,"-7,570","6,744","7,638","-5,919","-3,684",-880,"1,061","-3,162","-1,595",-311,"1,000",0,-893,"5,852","-5,919",0
2020-12-29,"2,182.69",27.51,"-4,890","28,546","-7,996","-16,448","-1,390",457,-590,"-4,229","-1,324",-136,"2,322",0,788,"29,334","-16,448",0
2020-12-28,"2,155.18",-19.07,"-5,427","3,076","-9,150","9,211","-3,479",-183,-508,-550,-688,"-1,788","1,769",0,"2,291","5,366","9,211",0
2020-12-24,"2,174.25",5.3,"-4,371","14,746","-9,283","-1,520","-2,992",-181,"-1,980","2,304",-143,-800,-579,0,428,"15,174","-1,520",0
2020-12-23,"2,168.95",-20.9,"-6,015","13,288","-9,046",418,"1,665",332,"-5,338",45,"-1,030",-236,"-1,452",0,"1,355","14,643",418,0
2020-12-22,"2,189.85",-52.41,"-8,077","-27,448","39,342","-4,794","-1,185",-814,"-5,081",-879,"-1,378",-51,"1,312",0,978,"-26,471","-4,794",0
2020-12-21,"2,242.26",13.74,"-7,954","-10,099","24,600","-6,047","-4,227",351,"-1,094","-4,059",-53,-465,"1,591",0,-500,"-10,598","-6,047",0
2020-12-18,"2,228.52",20.81,"-23,178","-1,823","30,281","-3,759","-3,053","-1,765","-3,437","-8,191",-894,"-1,206","-4,633",0,"-1,521","-3,344","-3,759",0
2020-12-17,"2,207.71",2.75,528,"-2,040","11,716","-10,150","1,510",-24,-249,"2,399",-58,-316,"-2,733",0,-54,"-2,094","-10,150",0
2020-12-16,"2,204.96",18.36,"-3,422","26,447","-19,411","-3,905","1,524",-306,"1,174",875,-881,-563,"-5,246",0,292,"26,739","-3,905",0
2020-12-15,"2,186.60",-9.38,"-4,388","-23,306","60,195","-32,567",711,-116,-663,72,-960,-390,"-3,041",0,66,"-23,240","-32,567",0
2020-12-14,"2,195.98",-3.78,"-3,667","-15,767","25,681","-4,627","-1,142",-81,"1,761","-1,950",-585,-3,"-1,667",0,"-1,621","-17,388","-4,627",0
2020-12-11,"2,199.76",21.97,"-2,260","6,850","3,486","-8,156","6,744",-688,"-5,315",-676,-552,-204,"-1,570",0,79,"6,929","-8,156",0
2020-12-10,"2,177.79",6.19,"-15,724","9,054","10,079","-4,160",-565,-755,"-12,619",-127,-347,-281,"-1,029",0,751,"9,805","-4,160",0
2020-12-09,"2,171.60",25.01,"-16,537","19,412",267,"-2,255","-3,713",-545,"-4,175","-1,810",-949,514,"-5,858",0,-886,"18,526","-2,255",0
2020-12-08,"2,146.59",-18.27,"-18,768","-17,967","35,759","1,072",131,-438,"-6,598","-5,382","-1,834","-2,970","-1,677",0,-96,"-18,063","1,072",0
2020-12-07,"2,164.86",1.85,"-20,423","16,665","3,745",-306,"-6,032",-817,"-10,101","-1,543","-1,400",-98,-431,0,318,"16,984",-306,0
2020-12-04,"2,163.01",-5.71,"-14,176","-20,459","35,731",-649,"-3,093","-1,139","-2,791",460,"-2,292",-186,"-5,135",0,-448,"-20,907",-649,0
2020-12-03,"2,168.72",1.93,"-4,768",-603,"6,799","-2,064",-212,"-1,818","-1,590",-441,-273,-272,-161,0,636,33,"-2,064",0
2020-12-02,"2,166.79",9.76,"-7,375","8,150","-2,318","1,744",-651,-615,"-3,605",-960,-65,"-2,172",693,0,-202,"7,948","1,744",0
2020-12-01,"2,157.03",12.76,"-15,256","-13,837","29,863","-1,232","-6,212",180,"-7,297","-2,189",-239,-144,645,0,461,"-13,375","-1,232",0
2020-11-30,"2,144.27",15.38,"1,558","24,280","-22,707","-1,773",-611,805,-406,"1,632",-451,-222,813,0,"-1,358","22,923","-1,773",0
2020-11-27,"2,128.89",12.33,"-3,186",671,"6,067","-4,495",-876,-20,"1,128",342,-253,-10,"-3,498",0,943,"1,614","-4,495",0
2020-11-26,"2,116.56",8.63,"-16,988","14,783","2,656","-1,203","-2,854",-494,"-4,442","1,260",-419,-156,"-9,882",0,752,"15,534","-1,203",0
2020-11-25,"2,107.93",-26.48,"-30,536","-31,284","60,598","1,202","-5,524",-461,"-10,443","-4,272",-378,-34,"-9,425",0,20,"-31,264","1,202",0
2020-11-24,"2,134.41",17.85,"-13,200","19,367","-2,738","-3,334","-3,781",-412,"-2,775",42,-574,-100,"-5,601",0,-95,"19,272","-3,334",0
2020-11-23,"2,116.56",8.48,"-12,840","-21,333","33,011","1,491","-1,680","-1,014","-3,275",445,-299,-245,"-6,773",0,-328,"-21,661","1,491",0
2020-11-20,"2,108.08",15.35,"-3,202","13,987","-7,632","-2,823","2,147",-448,"-1,001",-452,"-1,252",23,"-2,219",0,-330,"13,657","-2,823",0
2020-11-19,"2,092.73",3.61,"-3,781","-18,320","24,365","-2,168",9,-122,-811,401,-577,-40,"-2,640",0,-96,"-18,416","-2,168",0
2020-11-18,"2,089.12",19.35,"-12,401","18,907","-7,309",868,"-4,605",-606,"-1,283","-2,483",-220,-288,"-2,917",0,-64,"18,843",868,0
2020-11-17,"2,069.77",-16.1,"-9,263","-3,921","22,387","-9,314","6,274",-95,"-5,702","-5,580",-310,-34,"-3,816",0,111,"-3,810","-9,314",0
2020-11-16,"2,085.87",24.41,"-13,978","13,456","9,385","-8,237","-3,350","-1,298","-3,417","-3,576",-415,-117,"-1,805",0,-626,"12,830","-8,237",0
2020-11-13,"2,061.46",-12.55,"-7,202","-15,735","21,584","1,825",-53,134,"-2,118",425,"-1,357",-179,"-4,055",0,-472,"-16,206","1,825",0
2020-11-12,"2,074.01",14.13,"-12,648","5,975","8,458","-1,768",956,51,"-4,975","-1,463","-1,878",-59,"-5,281",0,-17,"5,957","-1,768",0
2020-11-11,"2,059.88",8.84,"-10,091","-3,113","13,683",-722,-622,"-1,363","-4,203",-629,-424,-519,"-2,331",0,242,"-2,871",-722,0
