date,actual,prediction
232,2091.92,2080.56
233,2084.07,2089.75
234,2068.89,2080.87
235,2060.74,2065.01
236,2081.85,2057.87
237,2088.65,2082.29
238,2098,2087.26
239,2105.62,2096.54
240,2137.35,2103.91
241,2170.25,2138.86
242,2168.15,2172.29
243,2195.68,2165.24
244,2194.76,2197.7
245,2196.56,2192.64
246,2204.18,2195.38
247,2203.71,2204.12
248,2190.08,2202.12
249,2197.93,2185.94
250,2204.21,2197.24
251,2197.67,2202.5
252,2175.17,2193.06
253,2176.46,2167.46
254,2155.07,2172.81
255,2175.54,2147.35
256,2151.31,2174.61
257,2186.45,2142.54
258,2206.39,2187.28
259,2229.26,2204.24
260,2238.88,2227.61
261,2230.98,2234.94
262,2248.05,2224.46
263,2250.57,2247.11
264,2262.64,2247.07
265,2239.69,2261.4
266,2267.25,2231.29
267,2246.13,2269.35
268,2176.72,2237.34
269,2185.28,2159.64
270,2148,2183.65
271,2119.01,2137.28
272,2118.88,2110.24
273,2157.9,2114.12
274,2165.63,2158.2
275,2227.94,2160.26
276,2211.95,2231.05
277,2201.07,2201.86
278,2223.12,2193.43
279,2238.38,2222.58
280,2232.96,2237.55
281,2243.59,2228.81
282,2242.17,2242.87
283,2208.88,2238.99
284,2210.34,2199.79
285,2195.5,2208.2
286,2162.84,2189.65
287,2079.04,2153.81
288,2103.61,2062.69
289,2076.77,2104.47
290,2054.89,2069.75
291,1987.01,2048.45
292,2002.51,1976.41
293,2014.15,2001.28
294,2059.33,2013.05
295,2085.26,2060.58
296,2040.22,2084.34
297,1954.77,2032.05
298,1962.93,1945.8
299,1908.27,1964.43
300,1834.33,1908.9
301,1771.44,1837.62
302,1714.86,1779.99
303,1672.44,1728.79
304,1591.2,1690.41
305,1457.64,1618.35
306,1566.15,1505.24
307,1482.46,1579.03
308,1609.97,1523.81
309,1704.76,1610.79
310,1686.24,1700.86
311,1717.73,1694.03
312,1717.12,1716.65
313,1754.64,1719.07
314,1685.46,1753.29
315,1724.86,1696.7
316,1725.44,1727.75
317,1791.88,1733.01
318,1823.6,1793.32
319,1807.14,1826.59
320,1836.21,1811.17
321,1860.7,1837.19
322,1825.76,1862.12
323,1857.08,1828.9
324,1857.07,1858.55
325,1914.53,1859.88
326,1898.36,1916.12
327,1879.38,1899.68
328,1896.15,1879.74
329,1914.73,1897.07
330,1889.01,1916.2
331,1922.77,1889.76
332,1934.09,1923.85
333,1947.56,1935
334,1895.37,1947.75
335,1928.76,1893.68
336,1928.61,1929.43
337,1945.82,1929.47
338,1935.4,1946.6
339,1922.17,1935
340,1940.42,1921.55
341,1924.96,1941.07
342,1927.28,1924.91
343,1937.11,1927.65
344,1980.61,1937.89
345,1989.64,1982.4
346,1998.31,1989.58
347,1970.13,1997.37
348,1994.6,1967.23
349,2029.78,1995.24
350,2031.2,2032.06
351,2028.54,2030.82
352,2029.6,2027.21
353,2065.08,2028.69
354,2087.19,2067.4
355,2147,2088.4
356,2151.18,2152.1
357,2181.87,2149.32
358,2184.29,2183.46
359,2188.92,2182.1
360,2195.69,2187.54
361,2176.78,2194.9
362,2132.3,2171.7
363,2030.82,2123.29
364,2138.05,2015.26
365,2141.05,2150.63
366,2133.48,2138.4
367,2141.32,2127.22
368,2126.73,2136.25
369,2131.24,2118.67
370,2161.51,2126.55
371,2112.37,2161.02
372,2134.65,2100.65
373,2093.48,2133.89
374,2108.33,2084.39
375,2106.7,2107.42
376,2135.37,2103.6
377,2152.41,2136.02
378,2187.93,2151.06
379,2164.17,2189.09
380,2158.88,2156.19
381,2167.9,2154.63
382,2150.25,2166.57
383,2186.06,2145.17
384,2183.61,2189.47
385,2201.88,2180.3
386,2183.76,2201.77
387,2201.19,2177.08
388,2198.2,2200.86
389,2228.83,2194.08
390,2228.66,2230.67
391,2216.19,2224.37
392,2200.44,2209.82
393,2217.86,2193.76
394,2256.99,2217.4
395,2263.16,2260.06
396,2267.01,2259.14
